Date,Open,High,Low,Close,Adj Close,Volume
2018-07-09,474.500000,482.500000,472.950012,480.774994,439.198212,3711984
2018-07-10,497.500000,497.500000,487.524994,489.774994,447.419861,11042854
2018-07-11,491.850006,500.549988,489.575012,496.725006,453.768890,10209714
2018-07-12,502.975006,509.899994,501.000000,503.024994,459.524078,10093442
2018-07-13,498.500000,498.899994,488.000000,491.674988,449.155609,11524056
2018-07-16,492.500000,495.450012,485.100006,486.049988,444.017059,3404444
2018-07-17,488.600006,492.000000,484.500000,490.149994,447.762512,3241946
2018-07-18,492.950012,498.399994,492.024994,494.950012,452.147430,3784400
2018-07-19,495.000000,497.250000,488.250000,491.049988,448.584717,1501536
2018-07-20,491.799988,502.250000,490.274994,499.600006,456.395294,4379550
2018-07-23,501.500000,505.475006,495.549988,502.424988,458.976013,3296730
2018-07-24,500.750000,504.500000,494.575012,495.799988,452.923889,2925630
2018-07-25,496.500000,496.750000,480.000000,482.149994,440.454376,5643672
2018-07-26,482.149994,483.975006,472.524994,476.299988,435.110260,7970088
2018-07-27,479.500000,484.850006,475.250000,481.725006,440.066101,4929768
2018-07-30,486.500000,490.575012,471.549988,473.575012,432.620880,6447110
2018-07-31,475.174988,483.250000,473.674988,482.549988,440.819733,4771570
2018-08-01,484.000000,490.000000,482.500000,489.325012,447.008789,3568096
2018-08-02,488.000000,492.000000,479.274994,480.250000,439.617035,3200706
2018-08-03,483.024994,484.950012,478.725006,481.825012,441.058746,2289018
2018-08-06,484.000000,484.274994,476.500000,478.250000,437.786255,2165794
2018-08-07,480.450012,485.475006,479.549988,484.399994,443.415894,2235882
2018-08-08,484.500000,484.899994,478.625000,482.274994,441.470703,1517966
2018-08-09,483.975006,483.975006,477.549988,478.325012,437.854980,2005458
2018-08-10,480.649994,483.899994,478.149994,483.000000,442.134399,2417448
2018-08-13,482.975006,492.125000,482.750000,491.500000,449.915161,2885640
2018-08-14,494.075012,501.000000,489.500000,499.850006,457.558716,4962034
2018-08-16,498.899994,507.399994,496.149994,498.625000,456.437317,5908118
2018-08-17,500.000000,503.899994,497.524994,501.524994,459.092010,2960410
2018-08-20,502.500000,503.250000,493.500000,494.125000,452.318146,2829604
2018-08-21,500.899994,507.000000,499.174988,502.299988,459.801483,9839198
2018-08-23,505.000000,514.049988,505.000000,512.825012,469.436005,5537558
2018-08-24,515.224976,519.525024,510.075012,511.674988,468.383270,4540390
2018-08-27,513.000000,520.150024,512.500000,519.500000,475.546204,2488450
2018-08-28,520.000000,523.375000,518.450012,520.375000,476.347107,2626156
2018-08-29,519.150024,520.575012,513.500000,516.424988,472.731354,4063384
2018-08-30,514.500000,516.450012,506.774994,508.274994,465.270905,4883942
2018-08-31,510.500000,527.500000,509.750000,523.224976,478.956055,6558672
2018-09-03,526.500000,530.500000,522.299988,524.575012,480.191895,4454306
2018-09-04,525.575012,539.500000,525.500000,538.174988,492.641083,5584742
2018-09-05,537.900024,543.500000,534.000000,539.474976,493.831177,5701112
2018-09-06,537.500000,544.900024,532.700012,544.400024,498.339508,5991810
2018-09-07,543.474976,543.474976,532.674988,536.974976,491.542633,4379878
2018-09-10,538.500000,548.450012,538.500000,544.349976,498.293732,8205078
2018-09-11,545.000000,549.500000,541.000000,542.549988,496.646027,8472420
2018-09-12,546.000000,549.500000,541.049988,543.400024,497.424133,4139134
2018-09-14,542.000000,544.224976,532.599976,535.349976,490.055115,7290574
2018-09-17,535.025024,542.200012,535.025024,539.200012,493.579437,3018112
2018-09-18,540.000000,545.500000,539.200012,541.950012,496.096649,2745526
2018-09-19,541.500000,549.224976,540.549988,543.650024,497.652924,4439812
2018-09-21,545.500000,546.000000,539.275024,542.450012,496.554474,6595630
2018-09-24,542.950012,553.000000,540.275024,548.150024,501.772156,4432578
2018-09-25,551.000000,562.525024,547.150024,558.174988,510.948975,5664544
2018-09-26,560.049988,560.424988,542.575012,545.075012,498.957306,2870394
2018-09-27,546.974976,552.224976,544.250000,546.099976,499.895569,5731064
2018-09-28,546.049988,549.875000,542.750000,543.900024,497.881744,4445086
2018-10-01,542.599976,550.500000,540.500000,549.200012,502.733276,3406600
2018-10-03,549.950012,550.849976,536.900024,545.650024,499.483734,4730720
2018-10-04,542.424988,546.424988,530.500000,538.549988,492.984344,3891118
2018-10-05,536.000000,549.000000,535.049988,542.000000,496.142426,2895914
2018-10-08,535.000000,542.275024,524.000000,536.049988,490.695923,2311830
2018-10-09,533.250000,539.525024,521.724976,534.200012,489.002472,2694524
2018-10-10,529.500000,531.525024,519.275024,525.900024,481.404755,4523678
2018-10-11,512.750000,512.750000,499.000000,504.500000,461.815277,6266576
2018-10-12,501.649994,503.500000,487.250000,492.575012,450.899353,4651748
