"Harapan_Lama_Sekolah,Pengeluaran_Perkapita,Rerata_Lama_Sekolah,Usia_Harapan_Hidup,IPM"
"11.63,8034,07.08,60.24,Normal"
"12.42,9708,8.22,60.99,Normal"
"13.66,11977,8.34,68.82,High"
"13.17,6188,7.49,66.39,Normal"
"13.72,7350,8.33,66.22,Normal"
"12.06,7882,08.02,64.83,Normal"
"12.18,4903,5.39,60.2,Low"
"13.47,5245,6.96,65.25,Low"
"12.35,5505,6.63,67.6,Low"
"11.72,5009,5.12,67.26,Low"
"14.39,13744,11.19,70.93,High"
"11.11,6955,6.76,65.93,Normal"
"14.14,10201,8.73,67.07,High"
"12.53,7545,5.6,59.9,Low"
"14.39,9989,10.05,67.16,High"
"12.18,8856,10.01,68.15,Normal"
"12.74,7491,9.47,69.17,Normal"
"14.2,9607,10.34,68.29,High"
"10.5,6377,4.77,66.62,Low"
"7.49,5289,3.74,65.33,Low"
"12.69,11400,10.18,72.36,High"
"11.08,7864,8.79,60.32,Normal"
"10.79,6327,6.51,65.31,Low"
"9.3,5736,05.08,58.59,Low"
"7.62,4895,4.27,66.05,Low"
"6.47,5429,03.04,64.54,Low"
"8.61,4841,3.65,65.83,Low"
"12.29,6617,8.83,66.46,Normal"
"12.43,8926,08.02,66.78,Normal"
"12.8,6788,9.21,66.42,Normal"
"13,5708,8.87,66.06,Normal"
"11.8,4603,5.87,58,Low"
"3.87,3976,1.42,55.43,Low"
"8.89,4393,3.43,66.11,Low"
"9.22,4487,3.33,63.75,Low"
"9.32,4664,03.01,65.49,Low"
"5.4,5412,2.16,65.86,Low"
"10.59,5415,4.94,65.85,Low"
"7.66,5328,03.09,65.69,Low"
"9.82,4673,3.25,65.36,Low"
"15.02,14937,11.57,70.52,Very-High"
"13.08,11156,8.54,71.57,High"
"14.31,9492,9.33,69.93,High"
"13.76,7085,9.34,65.26,Normal"
"14.31,8707,8.53,67.39,Normal"
"14.42,8089,8.87,64.35,Normal"
"14,8020,9.66,68.14,Normal"
"13.03,8489,8.15,68.72,Normal"
"14.27,10673,9.85,68.85,High"
"14.6,9516,9.37,67.98,High"
"14.72,9641,10.32,69.78,High"
"14.46,9816,8.99,66.94,High"
"14.83,8857,9.28,71.22,High"
"14.7,8122,8.63,68.8,Normal"
"13.58,8316,8.66,65,Normal"
"13.77,8791,8.2,65.47,Normal"
"13.59,8327,8.9,69.58,Normal"
"14.13,8216,8.68,69.22,Normal"
"13.98,9615,8.7,67.16,Normal"
"13.46,11098,9.79,69.22,High"
"14.82,10071,9.33,70.14,High"
"17.79,16778,12.65,71.45,Very-High"
"13.95,11273,11.14,70.51,High"
"15.35,12057,11.11,69.42,High"
"15.2,11367,10.91,71.6,High"
"14.61,7317,7.84,64.02,Normal"
"13.23,10420,9.54,69.1,High"
"12.57,6898,5.36,69.75,Normal"
"13.32,9684,8.62,62.6,Normal"
"13.24,11236,9.28,64.91,High"
"13.06,10071,8.62,67.15,Normal"
"13.69,11648,9.85,68.63,High"
"13.45,12154,10.52,70.08,High"
"12.73,11150,9.24,69.93,High"
"12.6,10890,8.79,68.26,High"
"12.78,11308,9.6,71.22,High"
"13.1,10350,9.58,69,High"
"12.76,12349,9.79,71.4,High"
"13.35,12225,10.09,71.73,High"
"13.05,11071,8.65,68.8,High"
"12.23,6974,5.85,68.74,Normal"
"13.28,7850,9.54,69.27,Normal"
"13.86,8170,09.03,65.74,Normal"
"13.47,8422,9.43,71.27,High"
"12.6,10950,8.54,68.68,High"
"12.63,10410,08.06,66.96,Normal"
"12.87,9987,9.37,67.17,Normal"
"13.03,8807,09.01,67.09,Normal"
"13,11495,8.75,68.71,High"
"13.04,11779,8.4,69.46,High"
"13.03,6064,6.58,69.43,Normal"
"12.94,5830,6.49,68.96,Normal"
"13.16,11473,10.4,69.01,High"
"12.5,11132,9.44,63.27,Normal"
"14.45,12372,11.16,73.55,High"
"12.72,12876,10.31,70.87,High"
"14.74,14890,11.39,73.14,Very-High"
"13.62,10997,10.93,72.38,High"
"14.54,10856,11,69.41,High"
"13.74,7980,8.61,71.19,Normal"
"14.02,10733,8.99,69.47,High"
"12.82,6281,07.09,64.73,Normal"
"13.32,9212,8.26,70.86,Normal"
"13.04,10171,7.86,68.58,Normal"
"12.37,10361,8.11,66.21,Normal"
"14.33,10588,8.61,69.94,High"
"13.67,10998,7.87,68.79,High"
"13.87,9651,8.96,72.37,High"
"13.29,9596,7.99,69.79,Normal"
"12.8,8425,08.09,67.4,Normal"
"12.71,10325,8.28,67.81,Normal"
"12.43,11273,8.47,71.33,High"
"13.61,9047,8.19,67.82,Normal"
"16.52,14481,11.58,73.65,Very-High"
"14.32,12117,11.03,73.61,High"
"13.17,10182,10.17,70,High"
"15.06,10734,11.62,72.82,High"
"14.97,13282,11.33,74.38,Very-High"
"14.26,13281,10.73,73.74,High"
"14.54,12796,10.59,70.28,High"
"13.2,10675,9.14,71.6,High"
"13.33,10243,8.59,68.55,High"
"12.36,10202,8.38,70.25,Normal"
"11.91,9954,7.23,67.85,Normal"
"12.24,11606,8.5,71.16,High"
"12.76,11799,9.66,71.11,High"
"13.46,10796,9.26,70.76,High"
"12.84,9374,8.39,70.06,Normal"
"12.87,11331,9.69,71.2,High"
"12.68,9362,8.25,70.3,Normal"
"12.82,7790,7.7,67.68,Normal"
"15.54,14433,11.68,72.34,Very-High"
"13.12,11751,10.07,70.93,High"
"12.98,10392,8.55,71.16,High"
"13.87,9995,8.55,69.93,High"
"11.99,10279,7.76,71.26,Normal"
"12.27,11616,7.87,69.17,Normal"
"12.92,9825,8.11,70.56,Normal"
"12.83,8556,8.57,71.27,Normal"
"12.16,9026,6.7,66.23,Normal"
"12.62,9480,7.71,68.12,Normal"
"12.6,10389,7.58,69.99,Normal"
"12.62,11471,8.27,67.74,Normal"
"15.1,12056,10.92,72.65,High"
"14.79,10248,10.32,72.11,High"
"12.45,10652,8.24,69.88,High"
"12.6,10020,8.7,68.2,Normal"
"11.42,10725,07.04,68.61,Normal"
"11.97,10951,7.79,68.9,Normal"
"12.34,9730,8.46,66.04,Normal"
"12.08,9520,7.52,68.14,Normal"
"12,10088,7.62,68.75,Normal"
"11.75,9850,7.2,68.97,Normal"
"11.75,8580,7.84,67.04,Normal"
"12.23,11505,7.55,69.1,Normal"
"12.3,10424,7.86,65.48,Normal"
"12.06,9350,7.6,65.08,Normal"
"12.05,8196,07.04,68.27,Normal"
"11.57,9783,6.84,65.68,Normal"
"14.41,14679,10.53,70.79,High"
"12.91,12723,9.96,70.32,High"
"12.85,8795,9.39,66.71,Normal"
"13.37,13243,9.89,69.25,High"
"13.61,10380,8.84,69.35,High"
"13.61,9837,9.26,67.9,High"
"13.83,10234,8.28,68.57,High"
